Block,Stratum,Comparison set,Single columns compared,"Fusion, in-sample tier","Best single column, in-sample tier",Single columns reaching that tier,Fusion against the best single column,Tier,Tier boundary (LR),Held-out gene,Training genes,Threshold from the training genes,Held-out LR,Held-out LR clears the boundary,Held-out variants,Held-out damaging,Held-out normal,Held-out variants above the threshold,Why no held-out LR,Leakage into the threshold,Term,Term kind,Folds,Mean coefficient,SD,Minimum,Maximum,Mean absolute coefficient,Rank by mean absolute value,Folds with a non-zero coefficient,Non-zero folds with the sign of the mean,Changes sign across folds,Best rank in a fold,Worst rank in a fold
b_logo_fold,s3_10,,,,,,,supporting,2.08,RAD51C,6,0.7260717839998245,67.78977272727272,Yes,379,88,291,43,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,supporting,2.08,VHL,6,0.7067575075499919,,,70,10,60,2,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,supporting,2.08,BAP1,6,0.7296401163900885,44.52739726027397,Yes,737,146,591,12,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,moderate,4.33,BRCA1,6,0.7437235681372876,,,490,104,386,0,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,moderate,4.33,BRCA2,6,0.744434241005326,,,529,69,460,0,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,moderate,4.33,BARD1,6,0.7043976714450962,4.909888357256778,Yes,459,66,393,104,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,moderate,4.33,PALB2,6,0.7437235681372876,,,411,87,324,0,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,moderate,4.33,RAD51C,6,0.7421387822089556,73.0,Yes,379,88,291,22,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,moderate,4.33,VHL,6,0.7437235681372876,,,70,10,60,0,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,moderate,4.33,BAP1,6,0.7428978545425058,,,737,146,591,2,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,strong,18.7,BRCA1,6,,,,490,104,386,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,strong,18.7,BRCA2,6,,,,529,69,460,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,strong,18.7,BARD1,6,0.744434241005326,22.03181818181818,Yes,459,66,393,47,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,strong,18.7,PALB2,6,,,,411,87,324,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,strong,18.7,RAD51C,6,,,,379,88,291,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,strong,18.7,VHL,6,,,,70,10,60,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,strong,18.7,BAP1,6,,,,737,146,591,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,supporting,2.08,BRCA1,5,0.6219912454086429,,,345,3,342,7,held-out gene has fewer than 10 damaging or 10 normal variants in this stratum,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,supporting,2.08,BARD1,5,0.6189367010656617,9.207977207977208,Yes,1435,21,1414,133,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,supporting,2.08,PALB2,5,0.6214779524627319,9.21025641025641,Yes,464,15,449,34,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,supporting,2.08,RAD51C,5,0.6185884539697968,11.359756097560973,Yes,765,36,729,64,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,supporting,2.08,VHL,5,0.6375097670600851,,,75,13,62,6,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,supporting,2.08,BAP1,5,0.6189367010656617,7.430932378460268,Yes,1453,137,1316,94,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,moderate,4.33,BRCA1,5,0.6505768659802442,,,345,3,342,4,held-out gene has fewer than 10 damaging or 10 normal variants in this stratum,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,moderate,4.33,BARD1,5,0.6445009759615419,8.977777777777778,Yes,1435,21,1414,85,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,moderate,4.33,PALB2,5,0.6498619732028489,13.815384615384616,Yes,464,15,449,19,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,moderate,4.33,RAD51C,5,0.6503589417678635,21.515625,Yes,765,36,729,33,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,moderate,4.33,VHL,5,0.6502888717811377,,,75,13,62,4,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,moderate,4.33,BAP1,5,0.6348703538623774,12.007299270072995,Yes,1453,137,1316,63,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,strong,18.7,BRCA1,5,,,,345,3,342,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,strong,18.7,BARD1,5,,,,1435,21,1414,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,strong,18.7,PALB2,5,,,,464,15,449,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,strong,18.7,RAD51C,5,,,,765,36,729,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,strong,18.7,VHL,5,,,,75,13,62,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s11_50,,,,,,,strong,18.7,BAP1,5,,,,1453,137,1316,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,supporting,2.08,BRCA1,6,0.6402283132638092,40.29906542056075,Yes,835,107,728,90,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,supporting,2.08,BRCA2,6,0.646414409122422,36.666666666666664,Yes,529,69,460,26,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,supporting,2.08,BARD1,6,0.6175172860595235,6.702706415716445,Yes,1894,87,1807,332,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,supporting,2.08,PALB2,6,0.6398746550680382,10.155098039215686,Yes,875,102,773,117,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,supporting,2.08,RAD51C,6,0.6168433904218151,7.504244482173175,Yes,1144,124,1020,218,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,supporting,2.08,VHL,6,0.6394644397859772,26.52173913043478,Yes,145,23,122,12,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,supporting,2.08,BAP1,6,0.6232472730128673,7.283542922469342,Yes,2190,283,1907,283,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,moderate,4.33,BRCA1,6,0.7376289591990441,,,835,107,728,0,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,moderate,4.33,BRCA2,6,0.7090108449546706,,,529,69,460,0,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,moderate,4.33,BARD1,6,0.659639624222099,9.50266696717001,Yes,1894,87,1807,223,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,moderate,4.33,PALB2,6,0.739592317749532,,,875,102,773,1,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,moderate,4.33,RAD51C,6,0.7352937507659496,222.09677419354838,Yes,1144,124,1020,28,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,moderate,4.33,VHL,6,0.7370721449715947,,,145,23,122,0,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,moderate,4.33,BAP1,6,0.7374493805138544,,,2190,283,1907,5,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,strong,18.7,BRCA1,6,,,,835,107,728,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,strong,18.7,BRCA2,6,,,,529,69,460,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,strong,18.7,BARD1,6,0.7184313452194024,17.63500325309044,No,1894,87,1807,98,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,strong,18.7,PALB2,6,,,,875,102,773,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,strong,18.7,RAD51C,6,,,,1144,124,1020,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,strong,18.7,VHL,6,,,,145,23,122,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_50,,,,,,,strong,18.7,BAP1,6,,,,2190,283,1907,,tier not reached on the training genes,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
c_coefficients,,,,,,,,,,,,,,,,,,,,,spliceai,within-gene rank,7,0.206,0.013,0.196,0.231,0.206,1,7,7,No,1,2
c_coefficients,,,,,,,,,,,,,,,,,,,,,pangolin,within-gene rank,7,0.19,0.016,0.168,0.221,0.19,2,7,7,No,1,2
c_coefficients,,,,,,,,,,,,,,,,,,,,,gpn_msa,within-gene rank,7,0.089,0.013,0.065,0.107,0.089,3,7,7,No,3,3
c_coefficients,,,,,,,,,,,,,,,,,,,,,phylop,within-gene rank,7,0.053,0.009,0.045,0.071,0.053,4,7,7,No,4,5
c_coefficients,,,,,,,,,,,,,,,,,,,,,phastcons,within-gene rank,7,0.039,0.016,0.013,0.063,0.039,5,7,7,No,4,5
c_coefficients,,,,,,,,,,,,,,,,,,,,,nt,within-gene rank,7,0.011,0.006,0.0,0.019,0.011,6,6,6,No,6,7
c_coefficients,,,,,,,,,,,,,,,,,,,,,cadd,within-gene rank,7,0.0,0.0,0.0,0.0,0.0,7,0,0,No,7,7
